"","Channel","Leadcount","Phonecount","Meetingcount","Acquiredcount","Cost","NPV","TolNPV","ROI","ConversionRate"
"1","-unknow",27233,174921,257,1265,5911260,0,0,-1,4.64509969522271
"2","Email",15590,63152,41,915,799720,8000,7320000,8.15320362126744,5.86914688903143
"3","Organic",132014,409394,192,8301,4151540,7500,62257500,13.9962423582574,6.28796945778478
"4","Paid Bing",1217,3237,4,67,130930,7000,469000,2.58206675322692,5.50534100246508
"5","Paid Google",5030,13576,3,306,891160,7000,2142000,1.4036087795682,6.08349900596421
"6","Paid Social",33275,82426,15,1479,5820010,7000,10353000,0.77886292291594,4.44477836213373
"7","unknown-Google",1,0,0,0,0,0,0,0,0
"8","unknown-Social",1,0,0,0,0,0,0,0,0
"9","unknown-unknow",148,375,0,8,0,0,0,0,5.40540540540541
"10","0",0,0,0,5719,0,0,0,0,0
